State,District,Market,Commodity,Variety,Group,Arrivals (Tonnes),Min_Price,Max_Price,Modal_Price,Reported Date
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,180.4,1616.9,1957.4,1847.2,2022-02-25
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,203.1,1483.4,1761.8,1582.9,2022-02-26
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,232.2,1698.7,2071.5,1883.8,2022-02-27
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,262.5,1378.5,1642.3,1496.7,2022-02-28
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,144.7,1825.4,2331.2,2038.6,2022-03-01
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,163.5,1989.2,2440.7,2283.4,2022-03-02
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,176.1,2200.8,2516.2,2322.5,2022-03-03
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,181.5,1982.3,2565.2,2185.2,2022-03-04
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,138.7,1987.3,2390.8,2132.5,2022-03-05
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,155.6,2199.6,2703.8,2327.5,2022-03-06
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,218.0,1646.3,2031.7,1887.9,2022-03-07
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,176.8,2020.7,2534.9,2272.3,2022-03-08
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,137.7,2007.0,2558.0,2292.8,2022-03-09
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,201.7,1909.3,2325.1,2117.4,2022-03-10
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,200.0,2292.8,2838.1,2469.6,2022-03-11
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,202.9,1878.0,2288.4,2093.7,2022-03-12
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,170.9,1771.3,2142.5,2006.1,2022-03-13
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,198.2,1706.3,2216.6,1990.8,2022-03-14
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,161.0,2298.4,2966.6,2550.0,2022-03-15
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,199.5,2238.3,2630.8,2408.8,2022-03-16
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,148.0,1612.3,2031.2,1867.1,2022-03-17
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,182.5,1935.7,2462.6,2100.1,2022-03-18
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,164.3,2090.1,2566.3,2312.1,2022-03-19
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,212.6,2492.1,3078.7,2627.1,2022-03-20
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,194.2,1970.7,2331.5,2098.9,2022-03-21
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,189.1,2042.6,2383.4,2158.8,2022-03-22
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,157.0,2166.1,2760.3,2352.0,2022-03-23
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,184.7,1950.9,2560.8,2224.9,2022-03-24
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,178.3,2285.2,2723.9,2494.5,2022-03-25
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,181.0,1702.7,2300.1,1957.5,2022-03-26
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,167.0,2307.7,2757.7,2499.2,2022-03-27
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,179.7,1731.2,2145.2,1914.2,2022-03-28
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,150.2,1647.3,2126.2,1907.8,2022-03-29
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,192.4,2215.2,2907.0,2488.5,2022-03-30
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,221.4,2215.2,2623.9,2389.9,2022-03-31
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,160.7,1956.4,2448.3,2256.0,2022-04-01
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,137.9,1974.1,2613.5,2250.7,2022-04-02
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,206.8,1885.2,2340.6,2166.9,2022-04-03
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,173.6,1937.6,2246.4,2137.9,2022-04-04
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,199.9,1867.8,2323.1,2035.5,2022-04-05
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,220.9,1994.0,2268.7,2160.7,2022-04-06
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,221.4,1956.6,2609.4,2276.9,2022-04-07
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,220.1,2084.1,2552.5,2270.6,2022-04-08
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,141.8,2307.4,3010.7,2570.5,2022-04-09
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,206.3,1788.6,2263.9,1987.1,2022-04-10
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,171.2,2215.8,2483.7,2346.7,2022-04-11
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,183.3,1900.6,2436.8,2229.8,2022-04-12
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,218.5,2063.3,2746.5,2353.6,2022-04-13
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,169.6,2338.7,3062.4,2627.0,2022-04-14
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,175.9,1870.6,2539.6,2169.4,2022-04-15
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,136.7,2310.2,2746.2,2501.7,2022-04-16
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,197.6,2020.3,2404.0,2198.4,2022-04-17
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,179.3,1870.4,2321.0,2033.3,2022-04-18
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,162.7,1965.5,2362.7,2196.0,2022-04-19
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,157.4,2009.1,2663.2,2351.9,2022-04-20
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,150.2,2101.8,2575.0,2381.0,2022-04-21
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,175.8,1919.1,2207.4,2069.1,2022-04-22
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,139.0,2327.5,2944.4,2548.4,2022-04-23
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,148.1,1946.6,2404.1,2212.9,2022-04-24
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,169.3,1824.8,2298.2,2022.6,2022-04-25
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,161.1,1847.0,2191.1,2003.4,2022-04-26
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,219.9,1823.8,2347.5,2125.7,2022-04-27
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,211.2,2034.6,2342.0,2206.4,2022-04-28
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,154.9,2165.7,2561.8,2323.6,2022-04-29
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,183.4,2215.9,2757.2,2458.8,2022-04-30
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,207.1,2171.0,2687.3,2309.0,2022-05-01
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,158.9,2092.5,2355.0,2215.8,2022-05-02
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,147.5,2173.0,2768.4,2413.1,2022-05-03
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,149.8,1922.9,2515.9,2197.0,2022-05-04
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,168.1,1745.4,2252.4,1972.2,2022-05-05
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,207.5,1861.8,2185.5,2056.0,2022-05-06
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,214.6,2265.0,2644.9,2455.2,2022-05-07
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,151.4,1801.7,2185.4,1976.4,2022-05-08
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,203.9,1947.0,2385.1,2091.4,2022-05-09
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,169.8,1792.4,2291.5,2004.6,2022-05-10
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,176.5,2178.5,2506.8,2299.0,2022-05-11
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,210.9,1820.8,2223.6,1984.7,2022-05-12
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,166.3,2120.0,2412.3,2265.9,2022-05-13
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,142.0,2211.5,2538.4,2358.6,2022-05-14
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,196.8,1986.9,2663.0,2293.6,2022-05-15
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,172.7,2056.9,2640.5,2280.4,2022-05-16
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,207.5,1882.9,2339.9,2090.9,2022-05-17
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,205.3,1900.0,2301.7,2044.9,2022-05-18
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,161.8,2088.1,2727.9,2343.7,2022-05-19
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,187.0,1714.0,2193.1,2013.7,2022-05-20
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,158.9,2166.8,2700.6,2310.9,2022-05-21
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,220.4,1618.0,2024.6,1805.4,2022-05-22
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,176.5,1756.3,2170.0,2064.3,2022-05-23
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,196.8,2204.4,2582.3,2452.5,2022-05-24
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,171.6,2015.8,2454.7,2290.4,2022-05-25
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,152.9,1649.6,2114.9,1889.1,2022-05-26
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,144.9,1819.2,2277.3,1983.7,2022-05-27
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,188.8,1977.7,2335.9,2205.3,2022-05-28
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,184.4,2015.8,2615.8,2235.4,2022-05-29
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,220.4,1724.0,2092.1,1898.1,2022-05-30
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,209.6,1935.7,2291.6,2071.6,2022-05-31
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,123.8,3529.1,4067.6,3785.4,2022-06-01
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,97.3,2843.2,3698.7,3232.2,2022-06-02
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,94.0,2739.3,3683.1,3222.4,2022-06-03
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,86.9,3062.7,3834.8,3449.0,2022-06-04
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,102.6,3232.3,3901.4,3413.0,2022-06-05
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,95.0,3073.8,3600.6,3368.1,2022-06-06
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,105.8,2793.6,3233.5,2984.8,2022-06-07
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,85.5,3204.0,4127.0,3623.7,2022-06-08
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,130.1,3468.8,4181.5,3755.9,2022-06-09
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,123.2,3125.4,3917.1,3527.5,2022-06-10
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,136.0,3539.3,4061.7,3771.6,2022-06-11
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,100.8,2941.9,3639.3,3418.5,2022-06-12
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,135.0,3368.0,4266.5,3695.3,2022-06-13
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,94.5,3012.7,3862.4,3526.3,2022-06-14
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,112.2,2633.1,3196.3,2878.6,2022-06-15
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,125.8,3204.4,4107.8,3677.0,2022-06-16
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,105.6,3165.5,4092.0,3495.1,2022-06-17
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,93.4,2983.0,3561.2,3274.8,2022-06-18
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,88.6,3164.1,3915.4,3498.4,2022-06-19
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,124.9,3284.6,4199.9,3780.2,2022-06-20
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,102.5,3554.5,4335.8,3936.6,2022-06-21
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,110.3,3386.2,3912.5,3692.0,2022-06-22
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,140.0,3346.2,3785.2,3563.3,2022-06-23
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,109.2,3240.4,3829.6,3467.6,2022-06-24
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,86.3,3366.8,4241.3,3685.9,2022-06-25
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,110.8,2802.4,3469.7,3168.0,2022-06-26
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,92.6,3202.1,3856.5,3624.7,2022-06-27
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,137.6,3319.2,3739.0,3510.7,2022-06-28
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,120.7,3115.6,3822.7,3374.3,2022-06-29
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,88.4,3692.2,4706.2,4063.2,2022-06-30
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,90.9,3774.4,4597.2,4106.8,2022-07-01
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,112.5,4197.2,4981.2,4469.4,2022-07-02
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,75.6,3197.8,3819.6,3592.2,2022-07-03
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,108.5,3575.3,4625.6,4045.7,2022-07-04
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,85.9,3351.7,4228.4,3919.7,2022-07-05
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,111.5,3209.8,4359.6,3717.6,2022-07-06
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,89.8,3595.3,4567.7,4141.7,2022-07-07
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,91.8,3544.8,4708.6,4108.5,2022-07-08
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,96.7,4006.9,5024.4,4572.6,2022-07-09
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,110.0,3287.5,3888.3,3694.4,2022-07-10
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,104.2,3338.5,4064.7,3850.2,2022-07-11
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,108.3,3869.3,4632.3,4302.3,2022-07-12
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,116.3,3933.3,4626.2,4275.5,2022-07-13
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,81.8,3992.1,4838.1,4229.5,2022-07-14
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,91.4,3895.2,4614.3,4356.0,2022-07-15
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,114.8,3418.2,4364.2,3871.0,2022-07-16
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,80.2,3898.5,5017.5,4560.9,2022-07-17
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,82.2,3557.7,4220.4,3881.9,2022-07-18
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,93.8,3959.0,4415.4,4195.5,2022-07-19
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,79.0,3678.6,4462.1,4086.9,2022-07-20
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,110.4,3510.5,4498.3,3954.9,2022-07-21
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,80.4,4254.5,5317.0,4889.9,2022-07-22
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,97.7,3818.9,4710.6,4364.8,2022-07-23
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,112.1,3742.1,4877.7,4303.5,2022-07-24
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,85.3,3734.1,4464.1,4121.4,2022-07-25
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,106.4,4014.4,4796.8,4324.6,2022-07-26
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,91.9,3354.7,4041.6,3774.4,2022-07-27
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,88.5,3675.3,4786.6,4289.2,2022-07-28
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,87.7,3717.6,4346.0,4126.8,2022-07-29
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,87.0,3726.3,4525.9,4163.2,2022-07-30
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,119.4,4011.8,5232.6,4516.2,2022-07-31
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,99.3,3196.1,3780.4,3419.6,2022-08-01
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,98.3,3234.9,4248.5,3705.1,2022-08-02
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,111.3,3728.7,4890.5,4278.5,2022-08-03
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,72.7,3801.4,4608.6,4297.3,2022-08-04
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,114.2,3097.1,3674.9,3420.3,2022-08-05
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,95.9,3387.7,4175.5,3868.2,2022-08-06
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,107.4,3158.4,3860.1,3600.6,2022-08-07
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,107.1,3791.1,4539.9,4089.6,2022-08-08
