city,date,temperature_c,precipitation_mm,rain_indicator
Agra,2022-05-12,29.3,0.0,0
Agra,2022-05-13,28.0,0.0,0
Agra,2022-05-14,31.4,0.0,0
Agra,2022-05-15,27.0,0.0,0
Agra,2022-05-16,31.6,0.5,0
Agra,2022-05-17,32.1,0.0,0
Agra,2022-05-18,35.2,0.0,0
Agra,2022-05-19,31.4,0.0,0
Agra,2022-05-20,35.3,0.0,0
Agra,2022-05-21,29.0,0.0,0
Agra,2022-05-22,27.6,0.0,0
Agra,2022-05-23,31.8,0.0,0
Agra,2022-05-24,32.3,0.0,0
Agra,2022-05-25,33.5,0.0,0
Agra,2022-05-26,31.6,0.0,0
Agra,2022-05-27,33.5,0.0,0
Agra,2022-05-28,32.7,0.0,0
Agra,2022-05-29,35.4,0.0,0
Agra,2022-05-30,33.6,0.0,0
Agra,2022-05-31,38.4,0.0,0
Agra,2022-06-01,33.3,0.0,0
Agra,2022-06-02,35.8,11.1,1
Agra,2022-06-03,36.6,1.0,0
Agra,2022-06-04,29.7,0.0,0
Agra,2022-06-05,35.5,6.8,1
Agra,2022-06-06,37.7,0.0,0
Agra,2022-06-07,35.6,44.7,1
Agra,2022-06-08,33.5,0.0,0
Agra,2022-06-09,31.7,19.9,1
Agra,2022-06-10,31.7,2.1,0
Agra,2022-06-11,35.5,0.0,0
Agra,2022-06-12,33.1,14.1,1
Agra,2022-06-13,36.7,0.0,0
Agra,2022-06-14,32.2,13.3,1
Agra,2022-06-15,33.2,0.0,0
Agra,2022-06-16,36.2,0.0,0
Agra,2022-06-17,33.5,0.0,0
Agra,2022-06-18,37.0,0.0,0
Agra,2022-06-19,34.8,0.0,0
Agra,2022-06-20,34.2,15.0,1
Agra,2022-06-21,35.0,14.1,1
Agra,2022-06-22,33.6,0.0,0
Agra,2022-06-23,32.9,0.0,0
Agra,2022-06-24,35.7,0.0,0
Agra,2022-06-25,35.1,0.0,0
Agra,2022-06-26,35.7,2.8,1
Agra,2022-06-27,33.2,27.2,1
Agra,2022-06-28,35.3,1.6,0
Agra,2022-06-29,35.3,0.0,0
Agra,2022-06-30,34.1,0.0,0
Agra,2022-07-01,38.9,0.0,0
Agra,2022-07-02,38.1,9.2,1
Agra,2022-07-03,34.5,0.0,0
Agra,2022-07-04,38.0,0.0,0
Agra,2022-07-05,34.1,0.0,0
Agra,2022-07-06,34.2,3.6,1
Agra,2022-07-07,39.9,0.0,0
Agra,2022-07-08,38.2,0.0,0
Agra,2022-07-09,36.5,0.0,0
Agra,2022-07-10,38.9,0.0,0
Agra,2022-07-11,36.3,0.0,0
Agra,2022-07-12,38.8,24.6,1
Agra,2022-07-13,36.0,0.0,0
Agra,2022-07-14,36.9,0.0,0
Agra,2022-07-15,32.5,24.6,1
Agra,2022-07-16,33.4,6.9,1
Agra,2022-07-17,35.8,0.0,0
Agra,2022-07-18,40.0,0.0,0
Agra,2022-07-19,35.4,0.0,0
Agra,2022-07-20,39.2,6.1,1
Agra,2022-07-21,37.7,0.0,0
Agra,2022-07-22,38.9,0.9,0
Agra,2022-07-23,37.3,0.0,0
Agra,2022-07-24,38.0,0.0,0
Agra,2022-07-25,34.9,0.0,0
Agra,2022-07-26,38.0,0.0,0
Agra,2022-07-27,36.9,0.0,0
Agra,2022-07-28,37.9,0.0,0
Agra,2022-07-29,37.0,0.0,0
Agra,2022-07-30,38.7,3.3,1
Agra,2022-07-31,37.3,0.0,0
Agra,2022-08-01,36.2,0.0,0
Agra,2022-08-02,35.5,0.0,0
Agra,2022-08-03,34.9,0.0,0
Agra,2022-08-04,38.7,0.0,0
Agra,2022-08-05,40.0,1.1,0
Agra,2022-08-06,37.4,3.1,1
Agra,2022-08-07,38.3,0.0,0
Agra,2022-08-08,36.0,0.0,0
Agra,2022-08-09,33.9,0.0,0
Agra,2022-08-10,32.7,0.8,0
Agra,2022-08-11,36.0,0.6,0
Agra,2022-08-12,35.7,0.0,0
Agra,2022-08-13,36.8,0.0,0
Agra,2022-08-14,34.5,0.0,0
Agra,2022-08-15,38.5,0.0,0
Agra,2022-08-16,33.5,0.0,0
Agra,2022-08-17,32.7,0.0,0
Agra,2022-08-18,34.6,0.0,0
Agra,2022-08-19,36.0,0.0,0
Agra,2022-08-20,36.2,15.3,1
Agra,2022-08-21,36.4,0.0,0
Agra,2022-08-22,34.6,20.6,1
Agra,2022-08-23,34.2,0.0,0
Agra,2022-08-24,33.6,16.5,1
Agra,2022-08-25,37.1,0.0,0
Agra,2022-08-26,35.2,0.0,0
Agra,2022-08-27,32.1,1.5,0
Agra,2022-08-28,36.7,0.0,0
Agra,2022-08-29,32.1,0.0,0
Agra,2022-08-30,36.6,0.0,0
Agra,2022-08-31,34.2,0.0,0
Agra,2022-09-01,34.5,55.5,1
Agra,2022-09-02,31.2,0.0,0
Agra,2022-09-03,33.8,0.0,0
Agra,2022-09-04,34.8,11.8,1
Agra,2022-09-05,30.4,0.0,0
Agra,2022-09-06,31.2,27.9,1
Agra,2022-09-07,30.4,0.0,0
Agra,2022-09-08,31.5,0.0,0
Agra,2022-09-09,29.0,0.0,0
Agra,2022-09-10,31.6,0.0,0
Agra,2022-09-11,32.3,0.0,0
Agra,2022-09-12,32.2,0.0,0
Agra,2022-09-13,29.6,0.0,0
Agra,2022-09-14,30.7,0.0,0
Agra,2022-09-15,32.6,0.0,0
Agra,2022-09-16,35.1,0.0,0
Agra,2022-09-17,30.0,0.0,0
Agra,2022-09-18,29.7,0.0,0
Agra,2022-09-19,30.3,0.0,0
Agra,2022-09-20,26.4,0.0,0
Agra,2022-09-21,28.7,2.2,0
Agra,2022-09-22,29.8,4.6,1
Agra,2022-09-23,32.9,0.0,0
Agra,2022-09-24,30.6,0.0,0
Agra,2022-09-25,30.4,0.0,0
Agra,2022-09-26,32.7,11.7,1
Agra,2022-09-27,27.9,0.0,0
Agra,2022-09-28,24.3,12.4,1
Agra,2022-09-29,28.2,0.0,0
Agra,2022-09-30,27.3,0.0,0
Agra,2022-10-01,29.3,0.0,0
Agra,2022-10-02,27.7,0.0,0
Agra,2022-10-03,29.2,0.0,0
Agra,2022-10-04,27.2,0.0,0
Agra,2022-10-05,28.3,0.0,0
Agra,2022-10-06,27.1,0.0,0
Agra,2022-10-07,26.1,0.0,0
Agra,2022-10-08,27.9,0.0,0
Agra,2022-10-09,25.2,0.0,0
Agra,2022-10-10,27.0,0.0,0
Agra,2022-10-11,23.0,0.0,0
Agra,2022-10-12,28.6,0.0,0
Agra,2022-10-13,23.9,0.0,0
Agra,2022-10-14,22.7,0.0,0
Agra,2022-10-15,27.3,0.0,0
Agra,2022-10-16,25.1,0.0,0
Agra,2022-10-17,27.3,0.7,0
Agra,2022-10-18,23.7,0.0,0
Agra,2022-10-19,21.3,0.0,0
Agra,2022-10-20,24.3,0.0,0
Agra,2022-10-21,23.6,0.0,0
Agra,2022-10-22,23.2,0.0,0
Agra,2022-10-23,21.7,0.0,0
Agra,2022-10-24,21.0,2.5,0
Agra,2022-10-25,23.0,0.0,0
Agra,2022-10-26,23.9,0.0,0
Agra,2022-10-27,22.8,0.0,0
Agra,2022-10-28,22.6,0.0,0
Agra,2022-10-29,20.7,0.0,0
Agra,2022-10-30,21.2,0.0,0
Agra,2022-10-31,18.3,0.0,0
Agra,2022-11-01,19.9,0.0,0
Agra,2022-11-02,23.2,0.0,0
Agra,2022-11-03,19.7,0.0,0
Agra,2022-11-04,21.5,0.0,0
Agra,2022-11-05,19.1,0.0,0
Agra,2022-11-06,22.1,0.0,0
Agra,2022-11-07,21.1,0.0,0
Agra,2022-11-08,17.9,0.0,0
Agra,2022-11-09,21.6,0.0,0
Agra,2022-11-10,22.0,0.0,0
Agra,2022-11-11,18.0,0.0,0
Agra,2022-11-12,18.9,0.0,0
Agra,2022-11-13,17.4,0.0,0
Agra,2022-11-14,20.5,0.0,0
Agra,2022-11-15,18.9,0.0,0
Agra,2022-11-16,18.7,0.0,0
Agra,2022-11-17,14.6,0.0,0
Agra,2022-11-18,18.0,1.3,0
Agra,2022-11-19,15.5,0.0,0
Agra,2022-11-20,18.4,0.0,0
Agra,2022-11-21,16.4,0.2,0
Agra,2022-11-22,16.0,0.0,0
Agra,2022-11-23,16.2,0.0,0
Agra,2022-11-24,16.7,0.0,0
Agra,2022-11-25,16.3,0.4,0
Agra,2022-11-26,18.1,0.0,0
Agra,2022-11-27,16.5,0.0,0
Agra,2022-11-28,15.0,0.0,0
Agra,2022-11-29,16.8,0.0,0
Agra,2022-11-30,18.0,0.0,0
Agra,2022-12-01,19.1,0.0,0
Agra,2022-12-02,15.0,0.0,0
Agra,2022-12-03,15.7,0.0,0
Agra,2022-12-04,16.6,0.0,0
Agra,2022-12-05,15.0,0.0,0
Agra,2022-12-06,13.2,0.0,0
Agra,2022-12-07,15.2,0.0,0
Agra,2022-12-08,13.1,0.0,0
Agra,2022-12-09,16.9,0.0,0
Agra,2022-12-10,14.5,0.0,0
Agra,2022-12-11,14.9,0.0,0
Agra,2022-12-12,13.5,0.0,0
Agra,2022-12-13,14.7,0.0,0
Agra,2022-12-14,16.9,0.5,0
Agra,2022-12-15,16.3,0.0,0
Agra,2022-12-16,15.6,0.0,0
Agra,2022-12-17,11.1,0.0,0
Agra,2022-12-18,11.4,0.0,0
Agra,2022-12-19,11.5,0.0,0
Agra,2022-12-20,15.9,0.0,0
Agra,2022-12-21,11.7,2.7,1
Agra,2022-12-22,11.4,4.2,1
Agra,2022-12-23,14.0,0.0,0
Agra,2022-12-24,15.5,0.0,0
Agra,2022-12-25,16.5,0.1,0
Agra,2022-12-26,11.4,0.0,0
Agra,2022-12-27,15.3,0.0,0
Agra,2022-12-28,13.7,0.0,0
Agra,2022-12-29,12.6,0.0,0
Agra,2022-12-30,11.0,0.0,0
Agra,2022-12-31,13.4,0.0,0
Agra,2023-01-01,11.1,0.0,0
Agra,2023-01-02,15.4,0.0,0
Agra,2023-01-03,13.1,0.0,0
Agra,2023-01-04,14.1,0.0,0
Agra,2023-01-05,12.5,0.0,0
Agra,2023-01-06,14.6,7.3,1
Agra,2023-01-07,11.9,0.0,0
Agra,2023-01-08,12.2,0.0,0
Agra,2023-01-09,15.4,0.0,0
Agra,2023-01-10,14.9,0.0,0
Agra,2023-01-11,8.7,0.0,0
Agra,2023-01-12,11.6,0.0,0
Agra,2023-01-13,13.6,0.0,0
Agra,2023-01-14,15.4,0.0,0
Agra,2023-01-15,14.7,0.0,0
Agra,2023-01-16,11.9,0.0,0
Agra,2023-01-17,13.9,0.0,0
Agra,2023-01-18,10.0,0.0,0
Agra,2023-01-19,14.9,0.0,0
Agra,2023-01-20,17.8,0.0,0
Agra,2023-01-21,13.6,0.0,0
Agra,2023-01-22,15.6,0.0,0
Agra,2023-01-23,10.7,0.0,0
Agra,2023-01-24,11.4,0.0,0
Agra,2023-01-25,12.6,0.0,0
Agra,2023-01-26,13.0,0.0,0
Agra,2023-01-27,13.9,0.0,0
Agra,2023-01-28,12.3,0.0,0
Agra,2023-01-29,13.7,0.0,0
Agra,2023-01-30,15.2,0.0,0
Agra,2023-01-31,14.4,3.2,1
Agra,2023-02-01,12.2,0.0,0
Agra,2023-02-02,13.0,0.0,0
Agra,2023-02-03,13.6,0.0,0
Agra,2023-02-04,13.0,0.0,0
Agra,2023-02-05,12.0,0.0,0
Agra,2023-02-06,14.7,0.0,0
Agra,2023-02-07,15.5,0.0,0
Agra,2023-02-08,15.7,0.0,0
Agra,2023-02-09,15.4,0.0,0
Agra,2023-02-10,12.5,0.0,0
Agra,2023-02-11,15.6,0.0,0
Agra,2023-02-12,15.7,0.0,0
Agra,2023-02-13,15.4,0.0,0
Agra,2023-02-14,16.5,0.0,0
Agra,2023-02-15,13.5,0.0,0
Agra,2023-02-16,14.3,0.0,0
Agra,2023-02-17,16.6,0.0,0
Agra,2023-02-18,15.0,0.0,0
Agra,2023-02-19,14.2,0.0,0
Agra,2023-02-20,15.9,0.0,0
Agra,2023-02-21,17.9,0.0,0
Agra,2023-02-22,14.4,0.0,0
Agra,2023-02-23,19.5,0.0,0
Agra,2023-02-24,14.5,0.0,0
Agra,2023-02-25,15.8,0.0,0
Agra,2023-02-26,19.0,0.0,0
Agra,2023-02-27,16.3,0.0,0
Agra,2023-02-28,18.2,0.0,0
Agra,2023-03-01,14.0,0.0,0
Agra,2023-03-02,15.9,0.0,0
Agra,2023-03-03,17.2,0.0,0
Agra,2023-03-04,14.3,0.0,0
Agra,2023-03-05,14.9,0.0,0
Agra,2023-03-06,18.7,0.0,0
Agra,2023-03-07,17.0,0.0,0
Agra,2023-03-08,16.8,0.0,0
Agra,2023-03-09,17.1,0.0,0
Agra,2023-03-10,21.3,0.0,0
Agra,2023-03-11,20.0,0.0,0
Agra,2023-03-12,19.5,0.0,0
Agra,2023-03-13,18.3,0.0,0
Agra,2023-03-14,15.9,0.0,0
Agra,2023-03-15,18.9,0.0,0
Agra,2023-03-16,18.5,0.0,0
Agra,2023-03-17,16.1,0.0,0
Agra,2023-03-18,22.9,0.0,0
Agra,2023-03-19,21.3,0.0,0
Agra,2023-03-20,20.7,0.0,0
Agra,2023-03-21,16.7,0.0,0
Agra,2023-03-22,22.3,0.0,0
Agra,2023-03-23,19.7,0.0,0
Agra,2023-03-24,19.7,0.0,0
Agra,2023-03-25,21.5,0.0,0
Agra,2023-03-26,21.2,0.0,0
Agra,2023-03-27,24.9,0.0,0
Agra,2023-03-28,18.8,0.0,0
Agra,2023-03-29,21.1,0.0,0
Agra,2023-03-30,19.3,0.0,0
Agra,2023-03-31,19.7,0.0,0
Agra,2023-04-01,22.9,0.0,0
Agra,2023-04-02,22.3,0.0,0
Agra,2023-04-03,25.4,0.0,0
Agra,2023-04-04,21.0,0.0,0
Agra,2023-04-05,26.1,0.0,0
Agra,2023-04-06,21.9,0.0,0
Agra,2023-04-07,22.4,0.0,0
Agra,2023-04-08,22.0,0.0,0
Agra,2023-04-09,24.3,0.0,0
Agra,2023-04-10,25.3,0.0,0
Agra,2023-04-11,22.9,0.0,0
Agra,2023-04-12,27.0,0.0,0
Agra,2023-04-13,22.7,0.0,0
Agra,2023-04-14,24.9,0.0,0
Agra,2023-04-15,26.0,0.0,0
Agra,2023-04-16,26.9,0.0,0
Agra,2023-04-17,27.9,0.0,0
Agra,2023-04-18,25.2,0.0,0
Agra,2023-04-19,26.8,0.0,0
Agra,2023-04-20,27.1,0.0,0
Agra,2023-04-21,24.7,0.0,0
Agra,2023-04-22,26.1,0.0,0
Agra,2023-04-23,24.8,0.0,0
Agra,2023-04-24,26.0,0.0,0
Agra,2023-04-25,26.8,0.0,0
Agra,2023-04-26,28.2,0.0,0
Agra,2023-04-27,26.6,0.0,0
Agra,2023-04-28,29.4,0.0,0
Agra,2023-04-29,25.4,0.0,0
Agra,2023-04-30,27.3,0.0,0
Agra,2023-05-01,27.2,0.0,0
Agra,2023-05-02,30.1,0.0,0
Agra,2023-05-03,28.1,0.0,0
Agra,2023-05-04,27.9,0.0,0
Agra,2023-05-05,26.8,0.0,0
Agra,2023-05-06,30.4,0.0,0
Agra,2023-05-07,26.4,0.0,0
Agra,2023-05-08,30.8,0.0,0
Agra,2023-05-09,29.6,0.0,0
Agra,2023-05-10,29.0,0.0,0
Agra,2023-05-11,29.5,0.0,0
Agra,2023-05-12,29.8,0.0,0
Agra,2023-05-13,29.9,1.2,0
Agra,2023-05-14,31.0,0.0,0
Agra,2023-05-15,26.6,0.0,0
Agra,2023-05-16,33.0,0.0,0
Agra,2023-05-17,29.6,0.0,0
Agra,2023-05-18,32.7,0.0,0
Agra,2023-05-19,28.0,0.0,0
Agra,2023-05-20,33.1,0.0,0
Agra,2023-05-21,36.5,0.0,0
Agra,2023-05-22,32.9,0.0,0
Agra,2023-05-23,34.7,0.0,0
Agra,2023-05-24,34.2,0.0,0
Agra,2023-05-25,33.8,0.0,0
Agra,2023-05-26,34.6,0.8,0
Agra,2023-05-27,35.1,0.0,0
Agra,2023-05-28,31.1,0.0,0
Agra,2023-05-29,34.4,0.0,0
Agra,2023-05-30,31.1,0.0,0
Agra,2023-05-31,36.8,0.0,0
Agra,2023-06-01,33.8,0.0,0
Agra,2023-06-02,34.2,2.4,0
Agra,2023-06-03,31.8,0.0,0
Agra,2023-06-04,36.7,0.0,0
Agra,2023-06-05,32.9,10.7,1
Agra,2023-06-06,33.8,0.0,0
Agra,2023-06-07,34.6,0.0,0
Agra,2023-06-08,37.7,0.0,0
Agra,2023-06-09,36.4,0.0,0
Agra,2023-06-10,31.7,0.0,0
Agra,2023-06-11,35.9,0.0,0
Agra,2023-06-12,35.1,2.5,1
Agra,2023-06-13,36.2,0.0,0
Agra,2023-06-14,36.1,0.0,0
Agra,2023-06-15,34.2,0.0,0
Agra,2023-06-16,37.0,0.5,0
Agra,2023-06-17,34.7,0.0,0
Agra,2023-06-18,34.8,0.0,0
Agra,2023-06-19,29.9,0.4,0
Agra,2023-06-20,38.0,0.0,0
Agra,2023-06-21,33.1,0.0,0
Agra,2023-06-22,34.6,0.0,0
Agra,2023-06-23,36.1,14.3,1
Agra,2023-06-24,38.3,7.0,1
Agra,2023-06-25,36.1,0.0,0
Agra,2023-06-26,38.3,0.0,0
Agra,2023-06-27,35.9,0.0,0
Agra,2023-06-28,38.9,0.0,0
Agra,2023-06-29,36.5,0.0,0
Agra,2023-06-30,37.9,0.0,0
Agra,2023-07-01,37.0,7.6,1
Agra,2023-07-02,39.0,0.0,0
Agra,2023-07-03,38.0,7.6,1
Agra,2023-07-04,37.8,0.0,0
Agra,2023-07-05,37.1,4.6,1
Agra,2023-07-06,38.9,9.1,1
Agra,2023-07-07,36.4,7.2,1
Agra,2023-07-08,37.3,0.0,0
Agra,2023-07-09,36.4,0.0,0
Agra,2023-07-10,39.7,0.0,0
Agra,2023-07-11,33.3,0.0,0
Agra,2023-07-12,34.7,0.0,0
Agra,2023-07-13,34.9,10.3,1
Agra,2023-07-14,36.3,0.0,0
Agra,2023-07-15,34.7,0.0,0
Agra,2023-07-16,37.1,0.0,0
Agra,2023-07-17,36.9,0.0,0
Agra,2023-07-18,33.9,0.0,0
Agra,2023-07-19,35.5,0.0,0
Agra,2023-07-20,37.3,38.4,1
Agra,2023-07-21,38.6,0.0,0
Agra,2023-07-22,38.2,0.0,0
Agra,2023-07-23,38.9,0.0,0
Agra,2023-07-24,36.6,0.0,0
Agra,2023-07-25,37.1,0.0,0
Agra,2023-07-26,38.1,0.0,0
Agra,2023-07-27,36.9,0.0,0
Agra,2023-07-28,33.8,0.0,0
Agra,2023-07-29,34.7,17.9,1
Agra,2023-07-30,36.4,0.0,0
Agra,2023-07-31,35.5,0.0,0
Agra,2023-08-01,37.3,3.1,1
Agra,2023-08-02,35.2,0.0,0
Agra,2023-08-03,35.7,0.0,0
Agra,2023-08-04,35.8,0.0,0
Agra,2023-08-05,35.6,23.8,1
Agra,2023-08-06,35.5,0.0,0
Agra,2023-08-07,36.0,0.0,0
Agra,2023-08-08,34.5,0.0,0
Agra,2023-08-09,34.7,0.0,0
Agra,2023-08-10,36.8,0.0,0
Agra,2023-08-11,34.1,0.0,0
Agra,2023-08-12,36.1,0.0,0
Agra,2023-08-13,34.9,14.2,1
Agra,2023-08-14,36.6,12.4,1
Agra,2023-08-15,35.2,0.0,0
Agra,2023-08-16,35.1,0.0,0
Agra,2023-08-17,35.7,0.0,0
Agra,2023-08-18,36.5,0.0,0
Agra,2023-08-19,33.8,6.9,1
Agra,2023-08-20,31.4,3.0,1
Agra,2023-08-21,35.0,7.0,1
Agra,2023-08-22,34.7,0.0,0
Agra,2023-08-23,34.3,12.6,1
Agra,2023-08-24,35.0,3.4,1
Agra,2023-08-25,34.4,0.0,0
Agra,2023-08-26,34.3,0.0,0
Agra,2023-08-27,34.5,8.7,1
Agra,2023-08-28,32.6,0.0,0
Agra,2023-08-29,32.6,7.6,1
Agra,2023-08-30,31.2,0.0,0
Agra,2023-08-31,33.7,0.0,0
Agra,2023-09-01,31.2,0.0,0
Agra,2023-09-02,31.3,15.9,1
Agra,2023-09-03,32.4,12.7,1
Agra,2023-09-04,33.5,0.0,0
Agra,2023-09-05,30.5,37.5,1
Agra,2023-09-06,34.5,0.0,0
Agra,2023-09-07,34.4,0.0,0
Agra,2023-09-08,31.8,0.0,0
Agra,2023-09-09,31.4,0.0,0
Agra,2023-09-10,29.6,7.0,1
Agra,2023-09-11,32.8,0.0,0
Agra,2023-09-12,33.3,0.0,0
Agra,2023-09-13,31.3,0.0,0
Agra,2023-09-14,30.4,0.0,0
Agra,2023-09-15,29.3,0.0,0
Agra,2023-09-16,29.9,0.0,0
Agra,2023-09-17,30.9,0.0,0
Agra,2023-09-18,32.1,0.0,0
Agra,2023-09-19,28.2,0.0,0
Agra,2023-09-20,32.9,0.0,0
Agra,2023-09-21,27.2,29.5,1
Agra,2023-09-22,26.7,12.5,1
Agra,2023-09-23,26.2,0.0,0
Agra,2023-09-24,26.3,10.8,1
Agra,2023-09-25,30.1,27.3,1
Agra,2023-09-26,29.7,0.0,0
Agra,2023-09-27,28.5,0.0,0
Agra,2023-09-28,30.2,0.0,0
Agra,2023-09-29,27.9,6.0,1
Agra,2023-09-30,29.6,0.0,0
Agra,2023-10-01,26.0,0.0,0
Agra,2023-10-02,25.9,0.0,0
Agra,2023-10-03,25.6,0.0,0
Agra,2023-10-04,28.1,0.0,0
Agra,2023-10-05,28.6,0.0,0
Agra,2023-10-06,25.4,0.0,0
Agra,2023-10-07,23.1,0.0,0
Agra,2023-10-08,22.0,0.0,0
Agra,2023-10-09,29.9,0.0,0
Agra,2023-10-10,26.2,0.8,0
Agra,2023-10-11,26.2,0.0,0
Agra,2023-10-12,26.2,0.0,0
Agra,2023-10-13,25.8,0.0,0
Agra,2023-10-14,21.2,0.0,0
Agra,2023-10-15,26.2,0.0,0
Agra,2023-10-16,25.5,0.0,0
Agra,2023-10-17,27.5,0.0,0
Agra,2023-10-18,22.8,0.0,0
Agra,2023-10-19,23.7,0.0,0
Agra,2023-10-20,25.7,0.0,0
Agra,2023-10-21,23.2,0.0,0
Agra,2023-10-22,22.8,0.0,0
Agra,2023-10-23,23.3,0.0,0
Agra,2023-10-24,20.6,1.4,0
Agra,2023-10-25,24.1,0.0,0
Agra,2023-10-26,21.9,0.0,0
