product,category,price_per_kg,units_shipped,units_sold,units_on_hand,supplier_location,date,product_clean
Onion,Vegetables,37.1,36.7,28.7,11.9,Agra,2022-03-14,onion
Onion,Vegetables,40.1,40.5,34.0,14.1,Agra,2022-03-15,onion
Onion,Vegetables,38.6,29.0,25.1,8.1,Agra,2022-03-16,onion
Onion,Vegetables,33.2,34.8,26.6,11.6,Agra,2022-03-17,onion
Onion,Vegetables,39.1,42.9,35.4,15.2,Agra,2022-03-18,onion
Onion,Vegetables,36.1,36.3,31.1,10.9,Agra,2022-03-19,onion
Onion,Vegetables,35.9,49.0,38.2,18.7,Agra,2022-03-20,onion
Onion,Vegetables,40.2,35.9,33.0,7.6,Agra,2022-03-21,onion
Onion,Vegetables,36.2,40.2,30.0,13.1,Agra,2022-03-22,onion
Onion,Vegetables,35.1,33.6,25.7,11.7,Agra,2022-03-23,onion
Onion,Vegetables,36.3,31.4,26.0,8.1,Agra,2022-03-24,onion
Onion,Vegetables,35.3,33.1,29.5,10.0,Agra,2022-03-25,onion
Onion,Vegetables,34.2,46.6,37.2,16.7,Agra,2022-03-26,onion
Onion,Vegetables,37.0,50.5,39.9,17.4,Agra,2022-03-27,onion
Onion,Vegetables,38.1,29.8,27.9,6.1,Agra,2022-03-28,onion
Onion,Vegetables,39.0,31.1,26.9,9.5,Agra,2022-03-29,onion
Onion,Vegetables,34.1,32.3,28.5,9.7,Agra,2022-03-30,onion
Onion,Vegetables,39.2,24.4,22.4,4.0,Agra,2022-03-31,onion
Onion,Vegetables,40.3,29.9,24.4,12.0,Agra,2022-04-01,onion
Onion,Vegetables,38.9,38.7,31.7,13.1,Agra,2022-04-02,onion
Onion,Vegetables,36.5,46.8,34.8,17.8,Agra,2022-04-03,onion
Onion,Vegetables,37.3,32.3,28.0,8.2,Agra,2022-04-04,onion
Onion,Vegetables,39.8,31.6,25.3,9.0,Agra,2022-04-05,onion
Onion,Vegetables,39.9,40.3,33.4,10.9,Agra,2022-04-06,onion
Onion,Vegetables,33.2,26.1,22.2,9.3,Agra,2022-04-07,onion
Onion,Vegetables,38.1,32.7,29.6,10.7,Agra,2022-04-08,onion
Onion,Vegetables,36.1,44.0,36.0,14.1,Agra,2022-04-09,onion
Onion,Vegetables,37.7,37.4,33.3,11.9,Agra,2022-04-10,onion
Onion,Vegetables,36.5,42.0,31.7,15.6,Agra,2022-04-11,onion
Onion,Vegetables,35.7,36.9,33.5,10.3,Agra,2022-04-12,onion
Onion,Vegetables,35.5,43.3,34.0,15.4,Agra,2022-04-13,onion
Onion,Vegetables,36.2,45.5,38.6,10.5,Agra,2022-04-14,onion
Onion,Vegetables,35.6,31.9,29.9,7.0,Agra,2022-04-15,onion
Onion,Vegetables,40.0,41.5,38.3,5.8,Agra,2022-04-16,onion
Onion,Vegetables,37.9,34.2,30.3,9.2,Agra,2022-04-17,onion
Onion,Vegetables,36.3,31.6,27.3,7.6,Agra,2022-04-18,onion
Onion,Vegetables,37.6,43.3,33.6,16.1,Agra,2022-04-19,onion
Onion,Vegetables,40.0,32.6,29.6,10.7,Agra,2022-04-20,onion
Onion,Vegetables,34.4,37.5,30.0,13.7,Agra,2022-04-21,onion
Onion,Vegetables,38.1,35.1,29.0,8.3,Agra,2022-04-22,onion
Onion,Vegetables,37.3,32.1,26.8,12.4,Agra,2022-04-23,onion
Onion,Vegetables,37.3,39.9,29.8,14.6,Agra,2022-04-24,onion
Onion,Vegetables,34.3,32.3,25.7,9.6,Agra,2022-04-25,onion
Onion,Vegetables,36.9,34.9,26.3,13.2,Agra,2022-04-26,onion
Onion,Vegetables,36.0,34.5,30.2,12.2,Agra,2022-04-27,onion
Onion,Vegetables,34.3,27.3,26.0,6.5,Agra,2022-04-28,onion
Onion,Vegetables,33.6,29.3,26.1,11.1,Agra,2022-04-29,onion
Onion,Vegetables,35.6,27.0,24.7,4.5,Agra,2022-04-30,onion
Onion,Vegetables,35.3,38.2,31.1,15.0,Agra,2022-05-01,onion
Onion,Vegetables,35.6,37.7,30.5,12.8,Agra,2022-05-02,onion
Onion,Vegetables,37.4,32.1,27.2,11.7,Agra,2022-05-03,onion
Onion,Vegetables,37.7,35.4,26.2,16.0,Agra,2022-05-04,onion
Onion,Vegetables,39.4,31.3,28.6,8.7,Agra,2022-05-05,onion
Onion,Vegetables,38.9,26.9,23.6,6.3,Agra,2022-05-06,onion
Onion,Vegetables,34.8,41.5,34.3,12.7,Agra,2022-05-07,onion
Onion,Vegetables,36.7,49.9,38.1,16.8,Agra,2022-05-08,onion
Onion,Vegetables,37.4,30.4,27.5,8.3,Agra,2022-05-09,onion
Onion,Vegetables,38.2,31.1,28.6,5.5,Agra,2022-05-10,onion
Onion,Vegetables,33.3,34.6,26.2,13.5,Agra,2022-05-11,onion
Onion,Vegetables,40.0,33.7,28.9,12.5,Agra,2022-05-12,onion
Onion,Vegetables,40.2,26.1,21.0,7.8,Agra,2022-05-13,onion
Onion,Vegetables,38.6,28.9,25.9,5.9,Agra,2022-05-14,onion
Onion,Vegetables,38.8,35.6,32.9,9.1,Agra,2022-05-15,onion
Onion,Vegetables,38.8,31.5,25.7,9.9,Agra,2022-05-16,onion
Onion,Vegetables,34.8,30.0,26.2,9.3,Agra,2022-05-17,onion
Onion,Vegetables,37.3,30.1,28.6,5.1,Agra,2022-05-18,onion
Onion,Vegetables,38.4,39.7,29.7,17.2,Agra,2022-05-19,onion
Onion,Vegetables,37.1,34.7,28.6,10.3,Agra,2022-05-20,onion
Onion,Vegetables,39.6,43.3,33.7,16.7,Agra,2022-05-21,onion
Onion,Vegetables,39.7,44.1,34.0,17.0,Agra,2022-05-22,onion
Onion,Vegetables,37.9,42.0,34.7,14.2,Agra,2022-05-23,onion
Onion,Vegetables,35.0,25.7,22.2,8.8,Agra,2022-05-24,onion
Onion,Vegetables,40.2,29.2,23.3,11.6,Agra,2022-05-25,onion
Onion,Vegetables,39.2,35.3,27.0,11.9,Agra,2022-05-26,onion
Onion,Vegetables,33.4,33.9,31.0,10.8,Agra,2022-05-27,onion
Onion,Vegetables,39.8,45.9,36.2,12.0,Agra,2022-05-28,onion
Onion,Vegetables,34.7,41.4,31.9,12.0,Agra,2022-05-29,onion
Onion,Vegetables,34.6,32.0,27.9,8.1,Agra,2022-05-30,onion
Onion,Vegetables,35.0,31.8,25.2,14.5,Agra,2022-05-31,onion
Onion,Vegetables,40.3,34.2,27.7,9.6,Agra,2022-06-01,onion
Onion,Vegetables,39.1,26.7,24.4,5.7,Agra,2022-06-02,onion
Onion,Vegetables,37.3,39.1,34.7,9.3,Agra,2022-06-03,onion
Onion,Vegetables,38.3,41.2,30.9,16.9,Agra,2022-06-04,onion
Onion,Vegetables,36.0,41.0,34.1,13.0,Agra,2022-06-05,onion
Onion,Vegetables,37.2,35.4,27.8,14.3,Agra,2022-06-06,onion
Onion,Vegetables,39.7,32.7,26.6,9.6,Agra,2022-06-07,onion
Onion,Vegetables,38.0,29.1,23.6,9.2,Agra,2022-06-08,onion
Onion,Vegetables,38.1,30.2,23.1,15.0,Agra,2022-06-09,onion
Onion,Vegetables,34.3,41.8,34.2,10.0,Agra,2022-06-10,onion
Onion,Vegetables,35.6,41.2,32.0,14.2,Agra,2022-06-11,onion
Onion,Vegetables,38.1,44.8,34.3,14.6,Agra,2022-06-12,onion
Onion,Vegetables,36.7,33.8,28.3,9.2,Agra,2022-06-13,onion
Onion,Vegetables,37.6,27.3,25.2,5.8,Agra,2022-06-14,onion
Onion,Vegetables,36.5,28.4,26.2,8.3,Agra,2022-06-15,onion
Onion,Vegetables,39.4,33.2,30.3,5.4,Agra,2022-06-16,onion
Onion,Vegetables,39.0,35.6,26.5,13.1,Agra,2022-06-17,onion
Onion,Vegetables,37.9,45.8,37.5,11.8,Agra,2022-06-18,onion
Onion,Vegetables,33.7,40.5,38.4,5.2,Agra,2022-06-19,onion
Onion,Vegetables,34.0,30.8,28.9,9.9,Agra,2022-06-20,onion
Onion,Vegetables,36.7,33.9,25.7,13.1,Agra,2022-06-21,onion
Onion,Vegetables,34.1,28.7,27.0,4.8,Agra,2022-06-22,onion
Onion,Vegetables,37.4,34.9,29.6,8.3,Agra,2022-06-23,onion
Onion,Vegetables,37.0,34.0,27.0,9.8,Agra,2022-06-24,onion
Onion,Vegetables,37.0,37.4,30.8,9.1,Agra,2022-06-25,onion
Onion,Vegetables,37.5,44.5,33.6,16.6,Agra,2022-06-26,onion
Onion,Vegetables,38.5,39.1,29.7,14.2,Agra,2022-06-27,onion
Onion,Vegetables,34.3,43.3,35.1,13.6,Agra,2022-06-28,onion
Onion,Vegetables,37.1,34.9,29.3,12.9,Agra,2022-06-29,onion
Onion,Vegetables,34.0,34.2,32.0,5.5,Agra,2022-06-30,onion
Onion,Vegetables,38.8,34.7,31.0,9.2,Agra,2022-07-01,onion
Onion,Vegetables,33.7,40.9,35.3,12.4,Agra,2022-07-02,onion
Onion,Vegetables,36.6,36.6,31.9,10.1,Agra,2022-07-03,onion
Onion,Vegetables,37.0,39.7,32.1,12.5,Agra,2022-07-04,onion
Onion,Vegetables,38.8,39.3,30.7,16.4,Agra,2022-07-05,onion
Onion,Vegetables,40.2,37.6,28.8,16.6,Agra,2022-07-06,onion
Onion,Vegetables,34.1,32.8,24.6,11.6,Agra,2022-07-07,onion
Onion,Vegetables,37.2,39.2,30.4,16.4,Agra,2022-07-08,onion
Onion,Vegetables,38.8,38.5,33.4,8.2,Agra,2022-07-09,onion
Onion,Vegetables,34.2,46.0,35.9,17.8,Agra,2022-07-10,onion
Onion,Vegetables,39.4,33.1,27.0,9.5,Agra,2022-07-11,onion
Onion,Vegetables,34.9,34.5,27.6,12.2,Agra,2022-07-12,onion
Onion,Vegetables,33.8,37.0,28.5,15.4,Agra,2022-07-13,onion
Onion,Vegetables,34.0,31.9,26.4,13.2,Agra,2022-07-14,onion
Onion,Vegetables,37.9,31.2,24.9,10.0,Agra,2022-07-15,onion
Onion,Vegetables,37.6,39.3,35.1,6.3,Agra,2022-07-16,onion
Onion,Vegetables,36.9,33.0,29.0,9.8,Agra,2022-07-17,onion
Onion,Vegetables,38.5,27.4,24.4,9.5,Agra,2022-07-18,onion
Onion,Vegetables,36.6,42.6,37.1,10.1,Agra,2022-07-19,onion
Onion,Vegetables,35.8,24.6,22.3,6.1,Agra,2022-07-20,onion
Onion,Vegetables,36.6,31.4,25.3,11.8,Agra,2022-07-21,onion
Onion,Vegetables,38.7,30.6,26.5,10.3,Agra,2022-07-22,onion
Onion,Vegetables,34.6,35.2,31.6,6.2,Agra,2022-07-23,onion
Onion,Vegetables,37.0,46.3,36.4,12.9,Agra,2022-07-24,onion
Onion,Vegetables,37.3,33.6,31.2,10.2,Agra,2022-07-25,onion
Onion,Vegetables,33.9,40.6,32.7,12.9,Agra,2022-07-26,onion
Onion,Vegetables,34.0,36.2,29.0,12.8,Agra,2022-07-27,onion
Onion,Vegetables,36.4,34.1,25.4,16.5,Agra,2022-07-28,onion
Onion,Vegetables,39.9,29.6,24.6,12.9,Agra,2022-07-29,onion
Onion,Vegetables,35.3,33.7,28.3,8.5,Agra,2022-07-30,onion
Onion,Vegetables,33.6,34.5,32.8,6.0,Agra,2022-07-31,onion
Onion,Vegetables,39.6,43.1,33.3,15.1,Agra,2022-08-01,onion
Onion,Vegetables,37.2,29.9,24.8,7.9,Agra,2022-08-02,onion
Onion,Vegetables,37.7,36.2,27.8,13.6,Agra,2022-08-03,onion
Onion,Vegetables,36.2,33.4,25.1,10.8,Agra,2022-08-04,onion
Onion,Vegetables,34.1,28.7,26.3,9.6,Agra,2022-08-05,onion
Onion,Vegetables,34.6,43.2,34.9,12.7,Agra,2022-08-06,onion
Onion,Vegetables,34.1,35.2,28.4,9.7,Agra,2022-08-07,onion
Onion,Vegetables,33.4,27.8,22.6,7.6,Agra,2022-08-08,onion
Onion,Vegetables,34.2,32.9,25.4,13.0,Agra,2022-08-09,onion
Onion,Vegetables,36.5,34.6,29.1,11.5,Agra,2022-08-10,onion
Onion,Vegetables,39.2,33.4,30.1,7.7,Agra,2022-08-11,onion
Onion,Vegetables,36.8,28.8,24.8,8.8,Agra,2022-08-12,onion
Onion,Vegetables,38.9,35.4,29.3,13.3,Agra,2022-08-13,onion
Onion,Vegetables,34.6,35.1,29.1,13.3,Agra,2022-08-14,onion
Onion,Vegetables,33.9,28.1,25.5,6.0,Agra,2022-08-15,onion
Onion,Vegetables,36.7,37.2,30.2,10.2,Agra,2022-08-16,onion
Onion,Vegetables,33.9,31.9,26.3,11.7,Agra,2022-08-17,onion
Onion,Vegetables,39.9,29.1,26.6,7.1,Agra,2022-08-18,onion
Onion,Vegetables,35.0,31.4,28.7,4.8,Agra,2022-08-19,onion
Onion,Vegetables,34.3,31.8,27.6,6.3,Agra,2022-08-20,onion
Onion,Vegetables,39.3,34.0,30.4,9.6,Agra,2022-08-21,onion
Onion,Vegetables,33.3,33.8,29.1,7.3,Agra,2022-08-22,onion
Onion,Vegetables,35.9,34.4,27.9,11.0,Agra,2022-08-23,onion
Onion,Vegetables,35.4,36.9,29.9,12.7,Agra,2022-08-24,onion
Onion,Vegetables,37.6,28.7,25.9,7.9,Agra,2022-08-25,onion
Onion,Vegetables,35.7,35.2,28.8,13.0,Agra,2022-08-26,onion
Onion,Vegetables,37.1,32.1,26.0,13.1,Agra,2022-08-27,onion
Onion,Vegetables,35.0,41.4,32.2,13.7,Agra,2022-08-28,onion
Onion,Vegetables,33.9,38.5,29.6,14.8,Agra,2022-08-29,onion
Onion,Vegetables,34.0,37.2,30.7,12.3,Agra,2022-08-30,onion
Onion,Vegetables,35.0,33.5,31.7,9.1,Agra,2022-08-31,onion
Onion,Vegetables,37.0,41.9,34.2,10.6,Agra,2022-09-01,onion
Onion,Vegetables,38.9,30.6,24.3,11.2,Agra,2022-09-02,onion
Onion,Vegetables,35.5,44.4,33.5,17.8,Agra,2022-09-03,onion
Onion,Vegetables,33.4,32.1,30.4,5.0,Agra,2022-09-04,onion
Onion,Vegetables,33.5,38.1,30.7,13.9,Agra,2022-09-05,onion
Onion,Vegetables,34.4,33.0,27.1,10.8,Agra,2022-09-06,onion
Onion,Vegetables,33.2,32.3,27.8,7.0,Agra,2022-09-07,onion
Onion,Vegetables,37.3,24.3,19.1,10.0,Agra,2022-09-08,onion
Onion,Vegetables,36.6,27.6,22.3,9.1,Agra,2022-09-09,onion
Onion,Vegetables,39.9,43.2,33.4,17.2,Agra,2022-09-10,onion
Onion,Vegetables,34.4,36.6,32.7,11.0,Agra,2022-09-11,onion
Onion,Vegetables,40.0,37.6,29.1,10.7,Agra,2022-09-12,onion
Onion,Vegetables,39.3,35.5,31.3,6.5,Agra,2022-09-13,onion
Onion,Vegetables,38.0,34.2,29.6,7.3,Agra,2022-09-14,onion
Onion,Vegetables,38.7,33.6,31.6,8.6,Agra,2022-09-15,onion
Onion,Vegetables,40.0,33.6,31.6,5.0,Agra,2022-09-16,onion
Onion,Vegetables,37.4,34.9,32.4,9.8,Agra,2022-09-17,onion
Onion,Vegetables,36.7,35.3,32.6,9.7,Agra,2022-09-18,onion
Onion,Vegetables,38.2,28.8,27.3,9.3,Agra,2022-09-19,onion
Onion,Vegetables,35.7,44.4,33.2,18.5,Agra,2022-09-20,onion
Onion,Vegetables,37.4,32.8,30.0,9.9,Agra,2022-09-21,onion
Onion,Vegetables,39.0,25.1,22.3,7.2,Agra,2022-09-22,onion
Onion,Vegetables,36.2,36.9,28.4,15.8,Agra,2022-09-23,onion
Onion,Vegetables,35.9,40.2,37.1,8.2,Agra,2022-09-24,onion
Onion,Vegetables,38.3,36.1,31.3,6.9,Agra,2022-09-25,onion
Onion,Vegetables,33.5,31.8,29.0,10.2,Agra,2022-09-26,onion
Onion,Vegetables,39.9,34.4,30.0,9.9,Agra,2022-09-27,onion
Onion,Vegetables,35.5,36.2,28.1,14.2,Agra,2022-09-28,onion
Onion,Vegetables,34.4,31.4,26.9,9.3,Agra,2022-09-29,onion
Onion,Vegetables,38.5,24.7,21.0,11.5,Agra,2022-09-30,onion
Onion,Vegetables,33.5,37.1,32.3,8.0,Agra,2022-10-01,onion
Onion,Vegetables,36.0,32.9,27.9,12.0,Agra,2022-10-02,onion
Onion,Vegetables,37.7,36.0,28.7,14.9,Agra,2022-10-03,onion
Onion,Vegetables,36.1,35.6,29.6,10.1,Agra,2022-10-04,onion
Onion,Vegetables,34.9,34.5,26.6,13.3,Agra,2022-10-05,onion
Onion,Vegetables,37.6,26.1,22.7,6.2,Agra,2022-10-06,onion
Onion,Vegetables,35.6,36.4,27.5,14.3,Agra,2022-10-07,onion
Onion,Vegetables,33.5,47.4,37.1,16.0,Agra,2022-10-08,onion
Onion,Vegetables,33.3,43.3,37.2,10.1,Agra,2022-10-09,onion
Onion,Vegetables,33.3,37.2,28.3,16.7,Agra,2022-10-10,onion
Onion,Vegetables,38.5,27.5,24.6,10.4,Agra,2022-10-11,onion
Onion,Vegetables,40.2,34.0,29.5,11.6,Agra,2022-10-12,onion
Onion,Vegetables,35.3,20.9,19.3,6.3,Agra,2022-10-13,onion
Onion,Vegetables,34.3,45.3,35.1,16.4,Agra,2022-10-14,onion
Onion,Vegetables,38.4,32.2,26.2,8.5,Agra,2022-10-15,onion
Onion,Vegetables,39.5,47.4,35.6,19.6,Agra,2022-10-16,onion
Onion,Vegetables,40.1,32.8,29.0,10.9,Agra,2022-10-17,onion
Onion,Vegetables,40.0,39.7,30.2,13.2,Agra,2022-10-18,onion
Onion,Vegetables,34.5,37.7,31.9,13.5,Agra,2022-10-19,onion
Onion,Vegetables,33.6,43.7,35.1,15.5,Agra,2022-10-20,onion
Onion,Vegetables,35.1,29.6,26.4,10.2,Agra,2022-10-21,onion
Onion,Vegetables,39.1,36.2,30.5,10.8,Agra,2022-10-22,onion
Onion,Vegetables,39.1,31.9,25.9,11.1,Agra,2022-10-23,onion
Onion,Vegetables,35.2,30.8,27.0,9.7,Agra,2022-10-24,onion
Onion,Vegetables,34.6,31.5,29.1,7.7,Agra,2022-10-25,onion
Onion,Vegetables,35.5,45.3,33.7,15.0,Agra,2022-10-26,onion
Onion,Vegetables,39.6,35.4,29.1,9.4,Agra,2022-10-27,onion
Onion,Vegetables,35.2,32.6,30.0,8.4,Agra,2022-10-28,onion
Onion,Vegetables,35.8,39.0,34.0,8.1,Agra,2022-10-29,onion
Onion,Vegetables,39.5,31.8,28.6,8.8,Agra,2022-10-30,onion
Onion,Vegetables,36.3,23.4,21.1,6.2,Agra,2022-10-31,onion
Onion,Vegetables,35.9,25.9,23.1,7.4,Agra,2022-11-01,onion
Onion,Vegetables,35.9,37.8,29.8,12.4,Agra,2022-11-02,onion
Onion,Vegetables,40.0,35.5,27.2,10.3,Agra,2022-11-03,onion
Onion,Vegetables,37.3,32.9,27.7,11.8,Agra,2022-11-04,onion
Onion,Vegetables,34.9,34.1,30.3,5.9,Agra,2022-11-05,onion
Onion,Vegetables,37.6,34.8,28.2,13.7,Agra,2022-11-06,onion
Onion,Vegetables,38.1,29.6,23.3,13.4,Agra,2022-11-07,onion
Onion,Vegetables,36.3,36.5,30.1,13.1,Agra,2022-11-08,onion
Onion,Vegetables,36.5,29.5,24.1,7.6,Agra,2022-11-09,onion
Onion,Vegetables,34.6,40.7,30.7,15.6,Agra,2022-11-10,onion
Onion,Vegetables,36.4,31.4,24.0,11.9,Agra,2022-11-11,onion
Onion,Vegetables,34.8,39.7,33.0,10.9,Agra,2022-11-12,onion
Onion,Vegetables,36.4,44.0,33.2,14.3,Agra,2022-11-13,onion
Onion,Vegetables,35.5,43.9,34.2,16.4,Agra,2022-11-14,onion
Onion,Vegetables,40.2,37.2,30.3,11.1,Agra,2022-11-15,onion
Onion,Vegetables,35.9,39.1,34.5,10.2,Agra,2022-11-16,onion
Onion,Vegetables,39.2,27.4,25.6,5.3,Agra,2022-11-17,onion
Onion,Vegetables,39.2,40.1,34.3,13.1,Agra,2022-11-18,onion
Onion,Vegetables,34.9,43.1,35.4,11.0,Agra,2022-11-19,onion
Onion,Vegetables,34.8,37.1,33.8,5.4,Agra,2022-11-20,onion
Onion,Vegetables,38.1,31.4,29.3,9.8,Agra,2022-11-21,onion
Onion,Vegetables,37.6,31.4,29.2,4.7,Agra,2022-11-22,onion
Onion,Vegetables,36.8,26.4,25.1,6.2,Agra,2022-11-23,onion
Onion,Vegetables,33.7,27.9,26.0,4.9,Agra,2022-11-24,onion
Onion,Vegetables,33.2,33.4,29.6,6.2,Agra,2022-11-25,onion
Onion,Vegetables,34.1,32.1,30.2,8.6,Agra,2022-11-26,onion
Onion,Vegetables,37.2,39.5,36.8,4.9,Agra,2022-11-27,onion
Onion,Vegetables,36.2,31.3,27.7,8.5,Agra,2022-11-28,onion
Onion,Vegetables,39.6,29.5,22.9,10.9,Agra,2022-11-29,onion
Onion,Vegetables,38.6,29.1,26.6,6.5,Agra,2022-11-30,onion
Onion,Vegetables,33.3,35.6,31.3,7.1,Agra,2022-12-01,onion
Onion,Vegetables,33.5,30.2,24.5,8.2,Agra,2022-12-02,onion
Onion,Vegetables,38.9,33.0,26.7,11.6,Agra,2022-12-03,onion
Onion,Vegetables,40.2,29.6,27.8,8.9,Agra,2022-12-04,onion
Onion,Vegetables,37.4,36.7,28.7,14.7,Agra,2022-12-05,onion
Onion,Vegetables,33.2,40.7,31.3,15.5,Agra,2022-12-06,onion
Onion,Vegetables,39.9,27.8,25.6,8.0,Agra,2022-12-07,onion
Onion,Vegetables,38.0,36.8,29.1,14.8,Agra,2022-12-08,onion
Onion,Vegetables,37.1,35.5,30.1,10.0,Agra,2022-12-09,onion
Onion,Vegetables,36.7,40.5,31.1,17.2,Agra,2022-12-10,onion
Onion,Vegetables,34.4,42.5,32.2,15.5,Agra,2022-12-11,onion
Onion,Vegetables,33.2,32.6,26.6,11.3,Agra,2022-12-12,onion
Onion,Vegetables,33.7,45.0,37.9,11.8,Agra,2022-12-13,onion
